Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777019558,50,,Aggregated,19.600000,11.300000,1,2,2,2,3,5,11,28,83,160,160,2464,1452,1,2.36215080813408,0.4303749883547425,159.8753749858588,58.26866883116883
1777019559,50,,Aggregated,19.100000,11.300000,1,2,2,2,3,5,11,28,83,160,160,2485,1462,1,2.3691787413027234,0.4303749883547425,159.8753749858588,58.27525150905433
1777019560,50,,Aggregated,19.700000,11.800000,1,2,2,2,3,5,11,28,83,160,160,2504,1472,1,2.3600399725607035,0.4303749883547425,159.8753749858588,58.26277955271566
1777019561,50,,Aggregated,18.800000,11.300000,1,2,2,2,3,5,11,28,83,160,160,2520,1481,1,2.3525188529645904,0.4303749883547425,159.8753749858588,58.28452380952381
1777019562,50,,Aggregated,18.100000,10.900000,1,2,2,2,3,5,11,28,83,160,160,2543,1492,1,2.3428229663617737,0.4303749883547425,159.8753749858588,58.354699174203695
1777019563,50,,Aggregated,18.900000,11.100000,1,2,2,2,3,5,11,28,83,160,160,2563,1504,1,2.3376428865737866,0.4303749883547425,159.8753749858588,58.37456106125634
1777019564,50,,Aggregated,18.600000,10.700000,1,2,2,2,3,5,11,28,83,160,160,2576,1509,1,2.335620442304474,0.4303749883547425,159.8753749858588,58.38703416149068
1777019565,50,,Aggregated,18.300000,10.000000,1,2,2,2,3,5,11,28,83,160,160,2596,1519,1,2.3293339942696036,0.4303749883547425,159.8753749858588,58.40947611710324
1777019566,50,,Aggregated,18.100000,9.700000,1,2,2,2,3,5,11,26,83,160,160,2618,1536,1,2.3224533070323488,0.4303749883547425,159.8753749858588,58.31550802139037
1777019567,50,,Aggregated,18.300000,9.800000,1,2,2,2,3,5,11,26,83,160,160,2637,1546,1,2.317634183446572,0.4303749883547425,159.8753749858588,58.35494880546075
1777019568,50,,Aggregated,18.200000,9.900000,1,2,2,2,3,5,10,26,83,160,160,2656,1555,1,2.3142595570997324,0.4303749883547425,159.8753749858588,58.37612951807229
1777019569,50,,Aggregated,19.400000,10.600000,1,2,2,2,3,5,10,26,83,160,160,2675,1569,1,2.309098772739417,0.4303749883547425,159.8753749858588,58.3577570093458
1777019570,50,,Aggregated,18.900000,10.100000,1,2,2,2,3,5,10,26,83,160,160,2692,1577,1,2.3053476537984654,0.4303749883547425,159.8753749858588,58.40676077265973
1777019571,50,,Aggregated,19.000000,10.500000,1,2,2,2,3,5,10,26,83,160,160,2713,1582,1,2.3039234426233697,0.4303749883547425,159.8753749858588,58.53814964983413
1777019572,50,,Aggregated,18.900000,10.600000,1,2,2,2,3,5,10,26,83,160,160,2732,1594,1,2.2969113922003648,0.4303749883547425,159.8753749858588,58.52196193265007
1777019573,50,,Aggregated,18.700000,10.100000,1,2,2,2,3,5,10,26,83,160,160,2752,1607,1,2.2913271437827523,0.4303749883547425,159.8753749858588,58.49454941860465
1777019574,50,,Aggregated,18.900000,10.100000,1,2,2,2,3,5,10,26,83,160,160,2771,1618,1,2.295882460471002,0.4303749883547425,159.8753749858588,58.511006856730425
1777019575,50,,Aggregated,18.500000,10.200000,1,2,2,2,3,5,10,26,83,160,160,2790,1631,1,2.2997525118384843,0.4303749883547425,159.8753749858588,58.512186379928316
1777019576,50,,Aggregated,19.400000,10.800000,1,2,2,2,3,5,10,26,83,160,160,2804,1641,1,2.297884736395442,0.4303749883547425,159.8753749858588,58.469686162624825
1777019577,50,,Aggregated,19.400000,10.800000,1,2,2,2,3,5,10,26,83,160,160,2823,1653,1,2.2944190753115787,0.4303749883547425,159.8753749858588,58.46652497343252
